id	name
317	Экономика и предпринимательство в сервисе и туризме
101	Экономика и социология труда
654	Экономика и управление народным хозяйством
424	Экономика недвижимости
419	Экономика организаций (предприятий)
130	Экономика предприятий
297	Экономика природопользования
487	Экономика стран АТР
167	Экономика труда
18	Экономико-математические методы и модели
491	Экономическая география стран АТР
8	Экономическая теория модуль 1
19	Экономическая теория модуль 2
587	Экономические основы работы с молодежью
632	Экономический анализ предприятия туристской индустрии
546	Экспериментальная психология
532	Экспертиза товаров и услуг
513	Эксплуатационные материалы
415	Электропитание устройств и систем связи
502	Электротехника и электрооборудование ТиТТМО
355	Этика
484	Этнология стран АТР
194	Юридическая клиника
554	Юридическая психология
186	Юридическая техника
369	Язык и стиль масс-медиа
